,src_ip,dst_ip,src_port,dst_port,protocol,number of packets in forward direction,duration of flow,ACK_flag_count
0,131.202.84.38,255.255.255.255,17500,17500,UDP,6,0.0003914833068847656,0.0
1,131.202.84.38,131.202.84.255,17500,17500,UDP,6,0.00038170814514160156,0.0
2,131.202.84.59,131.202.84.255,137,137,UDP,14,0.00038170814514160156,0.0
3,131.202.84.18,255.255.255.255,17500,17500,UDP,6,0.0004105567932128906,0.0
4,131.202.84.18,131.202.84.255,17500,17500,UDP,6,0.0003559589385986328,0.0
5,131.202.84.15,209.15.209.72,55022,443,TCP,6,0.0003542900085449219,0.0
6,209.15.209.72,131.202.84.15,443,55022,TCP,3,0.0003409385681152344,0.0
7,131.202.84.26,255.255.255.255,17500,17500,UDP,6,0.0003669261932373047,0.0
8,131.202.84.26,131.202.84.255,17500,17500,UDP,6,0.0003809928894042969,0.0
9,131.202.84.47,131.202.84.255,57621,57621,UDP,11,0.0004150867462158203,0.0
10,131.202.84.15,172.217.13.104,45286,443,TCP,4,0.0003573894500732422,0.0
11,172.217.13.104,131.202.84.15,443,45286,TCP,3,0.00033473968505859375,0.0
12,131.202.84.15,72.21.91.113,56108,443,TCP,6,0.00037598609924316406,0.0
13,72.21.91.113,131.202.84.15,443,56108,TCP,3,0.0003414154052734375,0.0
14,131.202.84.15,172.217.197.156,58474,443,TCP,6,0.0003666877746582031,0.0
15,172.217.197.156,131.202.84.15,443,58474,TCP,4,0.0003566741943359375,0.0
16,131.202.84.15,99.86.58.24,60352,443,TCP,4,0.00036787986755371094,0.0
17,99.86.58.24,131.202.84.15,443,60352,TCP,2,0.0003368854522705078,0.0
18,131.202.84.15,172.217.13.195,55598,443,TCP,4,0.00037288665771484375,0.0
19,172.217.13.195,131.202.84.15,443,55598,TCP,3,0.00035190582275390625,0.0
20,131.202.84.14,255.255.255.255,17500,17500,UDP,5,0.0004341602325439453,0.0
21,131.202.84.14,131.202.84.255,17500,17500,UDP,5,0.0003941059112548828,0.0
22,131.202.84.24,239.255.255.250,50565,1900,UDP,8,0.00039505958557128906,0.0
23,131.202.84.15,172.217.13.130,47286,443,TCP,24,0.0003886222839355469,0.0
24,131.202.84.15,172.217.13.97,39832,443,TCP,6,0.00038123130798339844,0.0
25,172.217.13.130,131.202.84.15,443,47286,TCP,17,0.00037407875061035156,0.0
26,172.217.13.97,131.202.84.15,443,39832,TCP,4,0.00035762786865234375,0.0
27,131.202.84.37,239.255.255.250,54709,1900,UDP,8,0.00046062469482421875,0.0
28,131.202.84.15,172.217.13.142,50298,443,TCP,7,0.00039076805114746094,0.0
29,172.217.13.142,131.202.84.15,443,50298,TCP,4,0.0003688335418701172,0.0
30,131.202.84.59,255.255.255.255,17500,17500,UDP,5,0.00045871734619140625,0.0
31,131.202.84.15,99.86.58.100,57738,443,TCP,12,0.0002994537353515625,0.0
32,99.86.58.100,131.202.84.15,443,57738,TCP,6,0.00030684471130371094,0.0
33,131.202.84.15,185.199.111.154,48904,443,TCP,10,0.00036978721618652344,0.0
34,185.199.111.154,131.202.84.15,443,48914,TCP,6,0.0003116130828857422,0.0
35,131.202.84.47,239.255.255.250,52602,1900,UDP,2,0.00048160552978515625,0.0
36,131.202.84.40,239.255.255.250,61338,1900,UDP,8,0.0004954338073730469,0.0
37,131.202.84.8,239.255.255.250,64379,1900,UDP,8,0.00045943260192871094,0.0
38,131.202.84.47,255.255.255.255,17500,17500,UDP,5,0.0004508495330810547,0.0
39,131.202.84.23,255.255.255.255,17500,17500,UDP,5,0.0004680156707763672,0.0
40,131.202.84.23,131.202.84.255,17500,17500,UDP,5,0.0004324913024902344,0.0
