,src_ip,dst_ip,src_port,dst_port,protocol,number of packets in forward direction,duration of flow,ACK_flag_count
0,131.202.84.15,23.74.10.14,42476,443,TCP,1117866,104.4228641987,0
1,131.202.84.15,52.60.201.7,46340,443,TCP,1,8.22544097900391E-05,0
2,199.212.24.175,131.202.84.15,443,46096,TCP,3,0.0002708435,0
3,131.202.84.15,199.212.24.175,46096,443,TCP,3,0.0002641678,0
4,199.212.24.174,131.202.84.15,443,40522,TCP,4,0.0003530979,0
5,131.202.84.15,199.212.24.174,40522,443,TCP,2,0.0002396107,0
6,13.107.18.11,131.202.84.15,443,57292,TCP,1,7.41481781005859E-05,0
7,131.202.84.15,199.212.24.172,42916,443,TCP,3,0.0002830029,0
8,131.202.84.15,34.73.232.153,35080,443,TCP,1,0.0001499653,0
9,199.212.24.172,131.202.84.15,443,42916,TCP,4,0.0003683567,0
10,131.202.6.93,131.202.84.15,53,32909,UDP,1,7.12871551513672E-05,0
11,34.73.232.153,131.202.84.15,443,35112,TCP,1,7.2479248046875E-05,0
12,131.202.84.15,13.107.18.11,57292,443,TCP,1,7.43865966796875E-05,0
13,131.202.84.15,172.217.13.142,59982,443,TCP,2,0.0001802444,0
14,131.202.84.15,172.217.13.131,41448,443,TCP,1,7.62939453125E-05,0
15,172.217.13.129,131.202.84.15,443,51076,TCP,1,7.53402709960937E-05,0
16,131.202.84.40,239.255.255.250,62242,1900,UDP,1,0.0001020432,0
17,131.202.84.47,255.255.255.255,17500,17500,UDP,1,8.24928283691406E-05,0
18,130.211.46.84,131.202.84.15,443,48120,TCP,1,0.000074625,0
19,131.202.6.19,131.202.84.15,53,32909,UDP,1,8.08238983154297E-05,0
20,131.202.84.15,209.85.225.198,52262,443,TCP,2,0.0002481937,0
21,209.85.225.198,131.202.84.15,443,52262,TCP,6,0.0007953644,0
22,131.202.84.18,239.255.255.250,46892,1900,UDP,1,7.96318054199219E-05,0
23,131.202.84.12,239.255.255.250,57391,1900,UDP,1,9.46521759033203E-05,0
